,player_total,action,dealer_card_up,expected_value
0,20,stand,2,0.6336
1,20,stand,3,0.6383
2,20,stand,4,0.651275
3,20,stand,5,0.66985
4,20,stand,6,0.676675
5,20,stand,7,0.77005
6,20,stand,8,0.788125
7,20,stand,9,0.756425
8,20,stand,10,0.434475
9,20,stand,11,0.107125
10,20,hit,2,-0.85315
11,20,double,2,-1.7063
12,20,hit,3,-0.854375
13,20,double,3,-1.70875
14,20,hit,4,-0.85665
15,20,double,4,-1.7133
16,20,hit,5,-0.849025
17,20,double,5,-1.69805
18,20,hit,6,-0.852525
19,20,double,6,-1.70505
20,20,hit,7,-0.84315
21,20,double,7,-1.6863
22,20,hit,8,-0.84945
23,20,double,8,-1.6989
24,20,hit,9,-0.846725
25,20,double,9,-1.69345
26,20,hit,10,-0.855225
27,20,double,10,-1.71045
28,20,hit,11,-0.87755
29,20,double,11,-1.7551
