player_total,dealer_card_up,double,hit,stand,best_action
20,10,-1.71045,-0.855225,0.434475,stand
20,11,-1.7551,-0.87755,0.107125,stand
20,2,-1.7063,-0.85315,0.6336,stand
20,3,-1.70875,-0.854375,0.6383,stand
20,4,-1.7133,-0.85665,0.651275,stand
20,5,-1.69805,-0.849025,0.66985,stand
20,6,-1.70505,-0.852525,0.676675,stand
20,7,-1.6863,-0.84315,0.77005,stand
20,8,-1.6989,-0.84945,0.788125,stand
20,9,-1.69345,-0.846725,0.756425,stand
19,2,-1.44855,-0.7365,0.3772,stand
19,3,-1.4463,-0.733125,0.393025,stand
19,4,-1.45125,-0.7258,0.419975,stand
19,5,-1.455,-0.725075,0.433375,stand
19,6,-1.45345,-0.72145,0.4593,stand
19,7,-1.4318,-0.715875,0.617375,stand
19,8,-1.41935,-0.7126,0.592125,stand
19,9,-1.4209,-0.718275,0.28715,stand
19,10,-1.49065,-0.743425,-0.022975,stand
19,11,-1.57805,-0.7933,-0.1828,stand
18,2,-0.31165,-0.155525,0.0243,stand
18,3,-0.3142,-0.155875,0.03585,stand
18,4,-0.31085,-0.153025,0.03895,stand
18,5,-0.31335,-0.153025,0.04865,stand
18,6,-0.3108,-0.1532,0.0539,stand
18,7,-0.29665,-0.1464,0.101025,stand
18,8,-0.2926,-0.1488,0.028,stand
18,9,-0.31115,-0.15365,-0.046875,stand
18,10,-0.33725,-0.1664,-0.0618,stand
18,11,-0.36915,-0.183775,-0.12035,stand
17,2,-0.2698,-0.128625,-0.04075,stand
17,3,-0.264,-0.132775,-0.0291,stand
17,4,-0.27285,-0.135125,-0.0195,stand
17,5,-0.26415,-0.13005,-0.012025,stand
17,6,-0.25115,-0.135975,-0.004175,stand
17,7,-0.24565,-0.120775,-0.026275,stand
17,8,-0.25185,-0.127325,-0.0964,stand
17,9,-0.2808,-0.1384,-0.10455,stand
17,10,-0.30295,-0.148725,-0.11305,stand
17,11,-0.34645,-0.169625,-0.166025,stand
16,2,-0.23895,-0.118825,-0.07335,stand
16,3,-0.2329,-0.114625,-0.06105,stand
16,4,-0.2267,-0.117175,-0.05155,stand
16,5,-0.2238,-0.1139,-0.0411,stand
16,6,-0.2267,-0.110475,-0.03,stand
16,7,-0.2102,-0.1036,-0.124,hit
16,8,-0.22615,-0.11665,-0.1301,hit
16,9,-0.2518,-0.1251,-0.13415,hit
16,10,-0.2862,-0.139775,-0.14295,hit
16,11,-0.336,-0.163875,-0.183,hit
15,2,-0.21465,-0.10495,-0.0693,stand
15,3,-0.20645,-0.1002,-0.06265,stand
15,4,-0.20415,-0.1014,-0.0485,stand
15,5,-0.18995,-0.0928,-0.0418,stand
15,6,-0.18085,-0.097775,-0.03425,stand
15,7,-0.18835,-0.09215,-0.1179,hit
15,8,-0.21025,-0.103275,-0.12935,hit
15,9,-0.2332,-0.11935,-0.1361,hit
15,10,-0.27065,-0.1346,-0.14305,hit
15,11,-0.3175,-0.159875,-0.1801,hit
14,2,-0.18145,-0.092475,-0.0716,stand
14,3,-0.17585,-0.0873,-0.06265,stand
14,4,-0.17095,-0.0859,-0.0502,stand
14,5,-0.1588,-0.078775,-0.04245,stand
14,6,-0.1492,-0.079625,-0.02495,stand
14,7,-0.17425,-0.0799,-0.1156,hit
14,8,-0.1865,-0.091125,-0.12945,hit
14,9,-0.21495,-0.1084,-0.1353,hit
14,10,-0.24605,-0.1217,-0.1447,hit
14,11,-0.3077,-0.1511,-0.1812,hit
13,2,-0.15425,-0.075575,-0.07195,stand
13,3,-0.15235,-0.070775,-0.0607,stand
13,4,-0.1289,-0.0672,-0.05115,stand
13,5,-0.1304,-0.0614,-0.04315,stand
13,6,-0.11955,-0.060275,-0.0351,stand
13,7,-0.1465,-0.0658,-0.12085,hit
13,8,-0.17445,-0.08375,-0.1263,hit
13,9,-0.2081,-0.094975,-0.13305,hit
13,10,-0.23685,-0.11435,-0.1465,hit
13,11,-0.29115,-0.14205,-0.17775,hit
12,2,-0.13675,-0.062625,-0.0682,hit
12,3,-0.122,-0.055475,-0.0613,hit
12,4,-0.10625,-0.049175,-0.05185,hit
12,5,-0.09245,-0.047675,-0.0416,stand
12,6,-0.09515,-0.044225,-0.0317,stand
12,7,-0.12355,-0.0532,-0.1172,hit
12,8,-0.15305,-0.06755,-0.126,hit
12,9,-0.1818,-0.084775,-0.13245,hit
12,10,-0.21945,-0.107175,-0.1403,hit
12,11,-0.2902,-0.136325,-0.1816,hit
